Step,Seed,Total_Infected,Susc_S0_B0,Immun_S0_B0,Susc_S0_B1,Immun_S0_B1,Susc_S1_B0,Immun_S1_B0,Susc_S1_B1,Immun_S1_B1,Susc_S2_B0,Immun_S2_B0,Susc_S2_B1,Immun_S2_B1,Susc_S3_B0,Immun_S3_B0,Susc_S3_B1,Immun_S3_B1,replicate_uid,seed,n_sites,pop_size,n_steps,engine,pow,mutation_rate,contact_rate,recovery_rate,waning_rate,immune_strength,seed_count,immunity_floor,immunity_ceiling
10,1,0.00042,0.9994319677352905,0.00021149881649762392,0.9995800256729126,0.0,0.9994319677352905,0.00021149881649762392,0.9995800256729126,0.0,0.9994319677352905,0.00021149881649762392,0.9995800256729126,0.0,0.9994319677352905,0.00021149881649762392,0.9995800256729126,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
11,1,0.00046,0.9993656277656555,0.0002489838225301355,0.9995399713516235,0.0,0.9993656277656555,0.0002489838225301355,0.9995399713516235,0.0,0.9993656277656555,0.0002489838225301355,0.9995399713516235,0.0,0.9993656277656555,0.0002489838225301355,0.9995399713516235,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
12,1,0.00056,0.9992188215255737,0.00031579399365000427,0.9994400143623352,0.0,0.9992188215255737,0.00031579399365000427,0.9994400143623352,0.0,0.9992188215255737,0.00031579399365000427,0.9994400143623352,0.0,0.9992188215255737,0.00031579399365000427,0.9994400143623352,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
13,1,0.00066,0.9990656971931458,0.0003918359871022403,0.9993399977684021,0.0,0.9990656971931458,0.0003918359871022403,0.9993399977684021,0.0,0.9990656971931458,0.0003918359871022403,0.9993399977684021,0.0,0.9990656971931458,0.0003918359871022403,0.9993399977684021,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
14,1,0.00086,0.9988338351249695,0.0004374176496639848,0.9991400241851807,0.0,0.9988338351249695,0.0004374176496639848,0.9991400241851807,0.0,0.9988338351249695,0.0004374176496639848,0.9991400241851807,0.0,0.9988338351249695,0.0004374176496639848,0.9991400241851807,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
15,1,0.00112,0.9985215067863464,0.0005122434813529253,0.9988800287246704,0.0,0.9985215067863464,0.0005122434813529253,0.9988800287246704,0.0,0.9985215067863464,0.0005122434813529253,0.9988800287246704,0.0,0.9985215067863464,0.0005122434813529253,0.9988800287246704,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
16,1,0.00153,0.998031735420227,0.0006259210058487952,0.9984700083732605,0.0,0.998031735420227,0.0006259210058487952,0.9984700083732605,0.0,0.998031735420227,0.0006259210058487952,0.9984700083732605,0.0,0.998031735420227,0.0006259210058487952,0.9984700083732605,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
17,1,0.00195,0.9974496960639954,0.0008572618826292455,0.9980499744415283,0.0,0.9974496960639954,0.0008572618826292455,0.9980499744415283,0.0,0.9974496960639954,0.0008572618826292455,0.9980499744415283,0.0,0.9974496960639954,0.0008572618826292455,0.9980499744415283,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
18,1,0.00243,0.996802031993866,0.0010961892548948526,0.9975699782371521,0.0,0.996802031993866,0.0010961892548948526,0.9975699782371521,0.0,0.996802031993866,0.0010961892548948526,0.9975699782371521,0.0,0.996802031993866,0.0010961892548948526,0.9975699782371521,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
19,1,0.00298,0.9960660338401794,0.0013624277198687196,0.9970200061798096,0.0,0.9960660338401794,0.0013624277198687196,0.9970200061798096,0.0,0.9960660338401794,0.0013624277198687196,0.9970200061798096,0.0,0.9960660338401794,0.0013624277198687196,0.9970200061798096,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
20,1,0.00357,0.9951598644256592,0.0018141049658879638,0.996429979801178,0.0,0.9951598644256592,0.0018141049658879638,0.996429979801178,0.0,0.9951598644256592,0.0018141049658879638,0.996429979801178,0.0,0.9951598644256592,0.0018141049658879638,0.996429979801178,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
21,1,0.00407,0.9943191409111023,0.002300865715369582,0.995930016040802,0.0,0.9943191409111023,0.002300865715369582,0.995930016040802,0.0,0.9943191409111023,0.002300865715369582,0.995930016040802,0.0,0.9943191409111023,0.002300865715369582,0.995930016040802,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
22,1,0.00528,0.9927647709846497,0.0027926580514758825,0.9947199821472168,0.0,0.9927647709846497,0.0027926580514758825,0.9947199821472168,0.0,0.9927647709846497,0.0027926580514758825,0.9947199821472168,0.0,0.9927647709846497,0.0027926580514758825,0.9947199821472168,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
